Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Type	Tolerance	Voltage Rating	Package	Value
51353-3800	Molex	DK	WM43440ND	"Micro-Clasp plug, 38pos, 2 row"	Connector	*	*	*	*
51353-2000	Molex	DK	WM3363-ND	"MicroClasp plug, 20pos, dual row"	Connector	*	*	*	*
55959-3830	Molex	Arrow	559593830	"Micro-Clasp header, 38pos, 2 row, through hole"	Connector	*	*	*	*
55959-2030	Molex	NW	09J7572	"Micro-Clasp header, 20pos, 2 rows, RA, through-hole"	Connector	*	*	*	*
55959-1030	Molex	DK	WM7595-ND	"Micro-Clasp header, 10pos, 2 rows, RA, through-hole"	Connector	*	*	*	*
6-534237-8	TE Connectivity	DK	A32916-ND	"Header, Female socket, .1"", 1-row, 20-pos"	Connector	*	*	*	*
534237-4	TE Connectivity	DK	A26418-ND	"Header, Female socket, .1"", 1-row, 6-pos"	Connector	*	*	*	*
2213S-20G	Multicomp	NW	08N6794	"""Header, Male pin, 0.1"""", 20 pos, 2 rows"""	Connector	*	*	*	*
9-146274-0-20	TE Connectivity	DK	A34259-20-ND	"Header, Male pin, .1"" 1-row, 20 pos, breakable (Long Pins)"	Connector	*	*	*	*
2-826629-0	TE Connectivity	DK	A106709-ND	"Header, Male pin, .1"", 1-row, 20 pos, breakable (Short Pins)"	Connector	*	*	*	*
4-103322-0-24	TE Connectivity	DK	A26536-24-ND	"Header, .1"", 2-row, 48-pos, breakable (Long Pins)"	Connector	*	*	*	*
3-826925-6	TE Connectivity	DK	A106443-ND	"Header, .1"", 2-row, 72-pos, breakable (Short Pins)"	Connector	*	*	*	*
43650-0309	Molex	DK	WM1881CT-ND	"Header, Microfit 3pos, RA, SMD"	Connector	*	*	*	*
43650-0321	Molex	NW	34R5766	"** DO NOT USE - NO DISTRIBUTORS ** Header, Microfit 3pos, SMD"	Connector	*	*	*	*
43045-0415	Molex	NW	56H9469	"Header, Microfit 4pos, SMD"	Connector	*	*	*	*
142-0701-801	Emmerson	DK	J502-ND	"Coaxial, SMA, Female, End Launch for .062�۝ board"	Connector	*	*	*	18GHz
282836-2	TE Connectivity	DK	A98076-ND	"Header, Screw Terminal, 2-pos, 5mm"	Connector	*	*	*	*
0908-2-15-20-75-14-11-0	Mill-Max	DK	ED90386-ND	"Pin, Spring Loaded, pogo. 7.5mm max height x 1.4mm stroke"	Connector	*	*	*	*
1217107-1	TE Connectivity	DK	A110905CT-ND	"Quick-connect receptacle, female blade terminal, PCB mount, horizontal"	Connector	*	*	*	*
R30-1011102	Harwin Inc	DK	952-1486-ND	"Standoff, Hex, M3 x 11mm. (suitable for .1�۝ header board-to-board stack)"	Connector	*	*	*	*
ECS-200-8-30B-CKM	ECS Inc	DK	XC1841CT-ND	"Crystal, 20MHz, 10ppm, 8pF load, 5x3SMD"	Crystal	10ppm	*	5x3.2SMD	20MHz
ECS-100-8-30B-CKM	ECS Inc	DK	XC1835CT-ND	"Crystal, 10MHz, 10ppm, 8pF load, 5x3SMD"	Crystal	10ppm	*	5x3.2SMD	10MHz
R-78C3.3-1.0	Recom	DK	945-1394-5-ND	"DC-DC Converter, 1A, 9-42V input, 3.3V output, Non-Isolated, 78xx replacement"	DC/DC	*	3.3V	SIP3	1A
R-78C5.0-1.0	Recom	DK	945-1395-5-ND	"DC-DC Converter, 1A, 9-42V input, 5V output, Non-Isolated, 7805 replacement"	DC/DC	*	5V	SIP3	1A
PTH08T260WAD	Texas Instruments	DK	296-21404-ND	"DC-DC Converter, 3-A, 4.5 to 14V Input, Non-Isolated, Wide Output, Adjustable Power Module"	DC/DC	*	*	*	*
BAT54C	Fairchild Semiconductor	NW	35C0398	"Schottky Rectifier, common cathode, Vf=800 mV, If = 200 mA, Vrrm = 30 V"	Diode	*	*	SOT-23	*
BZX84C5V1TS-7-F	Diodes Inc	DK	BZX84C5V1TS-FDICT-ND	"Diode array, Zener, 5.1 V, 3 discrete diodes, 200 mW, SOT-363"	Diode	*	5.1 V	SOD-323	5.1 V
MMSZ5226BS-7-F	Diodes Inc	DK	MMSZ5226BS-FDICT-ND	"Diode, Zener, 3.3V 200mW, SOD-323"	Diode	*	3.3V	SOD-323	3.3V
MM3Z16VT1G	ON Semiconductor	DK	MM3Z16VT1GOSCT-ND	"Diode, Zener, 16V, 200 mW, SOD-323"	Diode	*	16 V	SOD-323	16 V
B130-13-F	Diodes Inc	DK	B130-FDICT-ND	"Schottky rectifier, 30V, 1A, SMA"	Diode	*	30 V	SMA	*
MM3Z5V1T1G	Diodes Inc	NW	67H6879	"Zener diode, 200 mW, 5.1V, SOD-123"	Diode	*	5.1 V	SOD-323	5.1 V
MMSZ5231B	Fairchild Semiconductor	NW	58K1909	"Zener Diode, 5.1 V, 500 mW, SOD-123"	Diode	*	5.1V	SOD-123	5.1V
MBR0540T1G	ON Semiconductor	DK	MBR0540T1GOSCT-ND	"** DO NOT USE ** Diode, Schottky, 40V 0.5A SOD-123"	Diode	*	40V	SOD-123	*
SMBJ30CA	Littelfuse	DK	SMBJ30CALFCT-ND	TVS DIODE 30VWM 48.4VC SMB	Diode	*	48.4 V	"DO-214AA, SMB"	30 V
STPS0560Z	STMICROELECTRONICS	NW	89K1573	"Diode, Schottky, 40V, 500 mA, SOD-123"	Diode	*	40V	SOD-123	*
1N4004	FAIRCHILD SEMICONDUCTOR	NW	67R2154	"Diode, general purpose, 400V, 1A"	Diode	*	400V	DO-41	*
AZ23C3V3-7-F	Diodes Inc	DK	AZ23C3V3-FDICT-ND	"Diode, Zener, Dual CA, 3.3V SOT23"	Diode	*	3.3V	SOT-23	3.3V
46-101 BLK	Grayhill	NW	58M3271	"Switch, Pushbutton, SPDT, 250mA, 220V, Black"	Electromechanical	*	*	*	*
46-101 RED	Grayhill	NW	58M3272	"Switch, Pushbutton, SPDT, 250mA, 220V, Red"	Electromechanical	*	*	*	*
218-2LPST	CTS Electrocomponents	DK	CT2182LPST-ND	"DIP switch, 0.05"" pitch, 2pos, 50V"	Electromechanical	*	*	*	*
3003	Keystone	NW	66F5625	"Battery Clip, 20mm Coin Cell, Through Hole"	Electromechanical	*	*	*	*
SSQ 500	Bel-Fuse	DK	507-1043-1-ND	"Fuse, PCB mount, 500 mA, 125 VAC/VDC"	Fuse	*	125V	*	500 mA
SSQ 6.3	Bel-Fuse	DK	507-1054-1-ND	"Fuse, PCB mount, 6.3A, 125 VAC/VDC"	Fuse	*	125V	*	6.3A
0485.500DR	Littlefuse	DK	F5920CT-ND	"Fuse, SMT, 500mA, 600VDC"	Fuse	*	*	2-SMD	*
C1Q 750	Bel Fuse	DK	507-1076-1-ND	"SMT Fuse, 750 mA, 125 V, Fast-Blow, 1206, C1Q"	Fuse	*	125 V	1206	750 mA
56200001009	Littelfuse Wickmann	NW	67K2295	"Fuse holder, TR5, PCB mount"	Fuses and Holders	*	250 V	*	*
01530008Z	Littlefuse	NW	67K1421	"Miniature Blade Fuse Holder, Vertical, 15A, 32V"	Fuses and Holders	*	32V	*	*
ADS1100A0IDBVT	Texas Instruments	NW	20H0708	"IC, ADC, 16-bit, self-calibrating, 128sps, SOT-23-6"	"ICs, ADC"	*	*	SOT-23-6	*
CAT24C256WI-GT3	ON Semiconductor	DK	CAT24C256WI-GT3OSCT-ND	"IC, Memory, I2CEEPROM, SOIC-8"	"ICs, Memory"	*	*	SOIC-8	*
ISO1050DUBR	Texas Instruments	NW	14R9899	"IC, CAN TXRX, 1MBPS, 1/1, 5V, SOP-8"	"ICs, Communication"	*	*	SOP-8	*
MCP2515-I/SO	Microchip	DK	MCP2515-I/SO-ND	"IC, CAN Controller. SPI interface, SOIC-18"	"ICs, Communication"	*	*	SOIC-18	*
FT232RL	FTDI	DK	768-1007-1-ND	"IC, USB Serial, SSOP-28"	"Ics, Communication"	*	*	SSOP-28	*
SN65HVD230D	Texas Instruments	NW	75C7744	"IC, CAN Transceiver, 3.3V, with Standby, SOIC-8"	"ICs, Communication"	*	*	SOIC-8	*
ISO7241CDW	Texas Instruments	NW	73M3155	"IC, Digital Isolator, 150Mbps"	"ICs, Isolation"	*	*	SOIC-16	*
ISO1541DR	Texas Instruments	DK	296-34872-1-ND	"IC, I2C Digital Isolator, 1Mbps"	"ICs, Isolation"	*	*	SOIC-8	*
NE555N	STMICROELECTRONICS	NW	89K1486	"IC, Timer, 555, DIP8"	"ICs, Linear"	*	16V	DIP8	*
LMP8601MA/NOPB	Texas Instruments	NW	19P7829	"IC, Current Sense Amplifier, 60KHz, 20x Fixed Gain, SOIC8"	"ICs, Linear"	*	*	SOIC-8	*
LTC1563-2CGN#PBF	Linear Technology	DK	LTC1563-2CGN#PBF-ND	"IC, Filter, Lowpass, RC, 4th order Butterworth, SSOP16"	"ICs, Linear"	*	11V	SSOP-16	*
SN74AHC1G86DBVR	Texas Instruments	NW	10C2398	"IC, Single XOR Gate, SOT-23-5"	"Ics, Logic"	*	5.5V	SOT-23-5	*
"74HCT164D,652"	NXP Semiconductors	DK	568-2791-5-ND	"IC, Shift Register, 74HCT164D, SO14"	"ICs, Logic"	*	*	SOIC-14	*
MM74HC573MTC	Fairchild Semiconductor	NW	82C9246	"IC, Octal D-Latch, 3-State, TSSOP-20"	"ICs, Logic"	*	*	TSSOP-20	*
SN74LVC1G17DBVR	Texas Instruments	DK	296-11933-1-ND	"IC, Buffer, schmit trig, SOT23-5"	"ICs, Logic"	*	5.5V	SOT-23-5	*
SN74LVC2G07DBVR	Texas Instruments	DK	296-13494-1-ND	"IC, Buffer, 2-bit, non-invert, open drain, SOT-23-6"	"ICs, Logic"	*	*	SOT-23-6	*
74ACT16244DGGR	Texas Instruments	DK	296-1004-1-ND	"IC, Buffer, 16-bit, Push-pull outputs, TSSOP48"	"ICs, Logic"	*	*	TSSOP-48	*
TXB0108PWR	Texas Instruments	DK	296-21527-1-ND	"IC, Logic Level Translator. Bidirectional, 8-bit, TSSOP20"	"IC, Logic"	*	1.2V-5.5V	TSSOP20	*
TLV2764IPWR	Texas Instruments	NW	76C8534	"IC, Quad Op-Amp, Single Supply Rail-Rail, 500 KHz, TSSOP-14"	"ICs, Op-Amps"	*	3.6V	TSSOP-14	*
AD8662ARMZ	Analog Devices	DK	AD8662ARMZ-REELCT-ND	"IC, Dual Op-Amp, Single Supply Rail-Rail, 4MHz, CMOS, 8MSOP"	"ICs, Op-Amps"	*	*	8-MSOP	*
TPS560200DBVR	Texas Instruments			"IC, Synchronous Step-Down Converter, 4.5V - 17V Input, 5-SOT-23"	"ICs, Power Elec"	*	*	SOT-23-5	*
ADUM5000ARWZ	Analog Devices	NW	19P8235	"IC, DC/DC Conv, 180MHz, 3.3V-5V in, 3.3V/5V out"	"ICs, Power Elec"	*	*	SOIC-16	*
LP38693MP-3.3/NOPB	Texas Instruments	NW	41K7496	"IC, LDO VOLT REG, 3.3V, 0.5A, SOT-223-5"	"ICs, Power Elec"	*	*	SOT-223	*
LMR14206XMKE/NOPB	Texas Instruments	NW	76T5004	"IC, DC-DC Conv, Buck, 42 Vin, 1.25 MHz, SOT23-6"	"ICs, Power Elec"	*	*	SOT-23-6	*
ULN2003V12DR	Texas Instruments	DK	296-30538-1-ND	"IC, Low Power 7ch Sink Driver, SOIC-16"	"ICs, Power Elec"	*	*	SOIC-16	*
LTC1156CSW	Linear Technology	DK	LTC1156CSW#PBF-ND	High-side N-Channel MOSFET Gate Driver	"ICs, Power Elec"	*	*	SOIC-16	*
LMR14203XMKE/NOPB	Texas Instruments	NW	76T50003	"IC, DC-DC Conv, Buck, 42 Vin, 1.25 MHz, SOT23-6"	"ICs, Power Elec"	*	*	SOT23-6	*
PRTR5V0U8S118	NXP Semiconductors	MCM	118-PRTR5V0U8S	"** DO NOT USE - OBSOLETE ** IC, ESD protection TSSOP-10"	"ICs, Protection"	*	*	TSSOP-10	*
VLP8040T-220M	TDK	DK	445-6576-1-ND	"Inductor, 22 uH, power, 2.2A"	Inductor	*	*	*	22 uH
SDR0604-180YL	Bourns	NW	61J8158	"Inductor, 18 uH, 1.5 A, unshielded, 15%, 8012"	Inductor	15%	*	8012	18 uH
SDR0604-100ML	Bourns	NW	61J8151	"Inductor, power, 10 uH, 2 A, unshielded"	Inductor	20%	*	8012	10 uH
BKP1608HS600-T	Taiyo Yuden	DK	587-1928-1-ND	"Inductor, Chip, 60ohm, 1.5A, 0603"	Inductor	*	*	603	60 ohm
DR331-513AE	Bourns Inc	DK	DR331-513AECT-ND	CHOKE COMMON MODE 51UH 25%	Inductor	*	*	SMD	51 uH
MH1608-221Y	Bourns Inc	DK	MH1608-221YCT-ND	"Inductor, Chip, 220ohm, 0603"	Inductor	*	*	603	220 ohm
TLHR5400	VISHAY SEMICONDUCTOR	NW	33C1331	"LED, RED, T-1 3/4 (5MM), 10MCD, 625NM"	LED	*	2V	T1-3/4	20mA
LGQ971	Osram	NW	05M0493	"LED, Green, 0603, 10mcd"	LED	*	*	603	GREEN
LTST-C930KGKT	Lite-On	DK	160-1462-1-ND	"LED, Green, Clear Domed, 600mcd, 1209"	LED	*	*	1209	GrEEN
HSMD-C190	Avago	NW	98B5046	"LED, Orange, 0603, 8mcd"	LED	*	*	603	ORANGE
HSMH-C190	Avago	NW	40K0127	"LED, Red, 0603, 17mcd"	LED	*	*	603	RED
LTST-C930KRKT	Lite-On	DK	160-1463-1-ND	"LED, Red, Clear Domed, 850mcd, 1209"	LED	*	*	1209	RED
598-8120-107F	Dialight	NW	87M9430	"LED, Red Orange, 150 mcd, 625 nm, 0805"	LED	*	*	805	Red Orange (625 nm)
SML-LX0603YW-TR	Lumex	NW	75K1443	"LED, Yellow, 0603, 14mcd"	LED	*	*	603	YELLOW
LTST-C930KSKT	Lite-On	DK	160-1464-1-ND	"LED, Yellow, Clear Domed, 800mcd, 1209"	LED	*	*	1209	YELLOW
SMS1105PGC	Bivar	NW	73R3983	"LED, right-angle, Green, 800 mcd, 3.3V, 0603"	LED	*	*	0603	Green
SMP4-RGY	Bivar Inc	DK	492-1226-1-ND	"LED, Tri-Color, Red, Yellow, Green, "	LED	*	*	PLCC-4	RYG
MCP1825T-3302E/DC	Microchip	DK	MCP1825T-3302E/DC	"LDO, 3.3V, 500 mA, SOT-223-5"	Linear Regulator	*	3.3V	SOT-223-5	3.3V
MIC5205-3.3YM5 TR	Micrel	DK	576-1259-1-ND	"LDO, 3.3V 150mA, SOT-23-5"	Linear Regulator	*	*	SOT-23	3.3V
TMS320F28035PNT	Texas Instruments	DK	296-32764-ND	"IC, MCU, C2000 piccolo, LQFP80"	"ICs, MCU"	*	*	LQFP-80	*
FDN359AN	Fairchild Semiconductor	NW	38C7142	"N-channel MOSFET, 30 V, 2.7 A, SOT-23"	MOSFET	*	30 V	SOT-23	*
FDC604P	Fairchild Semiconductor	DK	FDC604PCT-ND	"P-channel MOSFET, 20V, 5.5A, SSOT-6"	MOSFET	*	20V	SSOT-6	*
IRF9410PBF	International Rectifier	NW	19K8340	"N CHANNEL MOSFET, 30V, 7A, SOIC"	MOSFET	*	30V	SOIC-8	*
IRFL024ZPbF	International Rectifier	NW	63J6797	"N-Channel MOSFET, 55V, 5.1A, SOT-223"	MOSFET	*	55V	SOT-223	5.1A
FDT439N	Fairchild Semiconductor	DK	FDT439NCT-ND	"N-Channel MOSFET, 30V, 6.3A, 2.5v logic gate, SOT-223"	MOSFET	*	30 V	SOT-223	6.3A
FDV301N	Fairchild Semiconductor	NW	58K8856	"N-channel MOSFET, 25V, 220 mA, SOT-23"	MOSFET	*	25V	SOT-23	*
3362P-1-103LF	Bourns Inc	DK	3362P-103LF-ND	"Trimpot, 10K, vertical"	Pot	*	*	3362P	*
1432868-1	TE Connectivity	NW	21M4882	"Automotive Relay, SPDT, 12VDC, 40A, PCB Mount"	Relay	*	*	*	*
ACT512-ND	Panasonic	DK	255-1852-ND	RELAY AUTOMOTIVE SPDT 20A 12V	Relay	*	*	*	20A
IM26GR	TE Connectivity	DK	PB1166CT-ND	"Relay, IM Telecom, DPDT, 12V coil, SMT 2FormC"	Relay	*	12V	2 form C	*
MC0805WA00000T5E-TC	Multicomp	NW	58K4927	"Resistor, 0 ohm, Jumper, 100 mW, 0805, 1%"	Resistor	1%	150V	805	0 ohm
CRCW06030000Z0EA	Vishay Dale	NW	52K8014	"Resistor, 0 ohm, Jumper, 100 mW, 0603, 1%"	Resistor	*	*	603	0 ohm
EXB-2HV102JV	Panasonic	DK	Y1102CT-ND	"Resistor array, 8x0402, 1 k ohm, 63 mW, 5%, 200ppm"	Resistor	5%	*	402	1k ohm
ERJ-2RKF1021X	Panasonic	DK	P1.02KLCT-ND	"Resistor, 1.02k ohm, 0.1W, 1%, 100ppm, 0402"	Resistor	1%	*	402	1.02k ohm
ERJ-2RKF1471X	Panasonic	NW	53W4223	"RESISTOR, THICK FILM, 1.47KOHM, 100mW, ﾱ 1%, 0402"	Resistor	1%	*	402	1.47k ohm
CRCW06031K47FKEA	Vishay Dale	DK	541-1.47KHCT-ND	"Resistor, 1.47k ohm, 100 mW, 0603, 1%"	Resistor	1%	75V	603	1.47k ohm
RC0603JR-071K5L	Yageo	NW	68R0139	"Resistor, 1.5k ohm, 100 mW, 5%, Thick Film, 100ppm"	Resistor	5%	50V	603	1.5k ohm
ERJ-6GEYJ152V	Panasonic	NW	65T8789	"Resistor, 1.5k ohm 125 mW, 5%, Thick Film, 200ppm, 0805"	Resistor	5%	150V	805	1.5k ohm
RC0402FR-071K82L	Yageo	DK	311-1.82KLRCT-ND	RES 1.82K OHM 1/16W 1% 0402 SMD	Resistor	1%	*	402	1.82k ohm
CRCW06031K82FKEA	Vishay Dale	DK	541-1.82KHCT-ND	"Resistor, 1.82k ohm, 100 mW, 0603, 1%"	Resistor	1%	75V	603	1.82k ohm
RC0402FR-13100RL	Yageo	NW	67R9962	"Resistor, 100 ohm, 62.5 mW, 1%, 0402"	Resistor	1%	*	0402	100 ohm
MC0603WGF1000T5E-TC	Multicomp	NW	58K4446	"Resistor, 100 ohm 63 mW, 1%, Thick Film, 0603"	Resistor	1%	50V	603	100 ohm
RC0603FR-07100KL	Yageo	NW	98K7340	"Resistor, 100k ohm 100 mW, 1%, Thick Film, 0603"	Resistor	1%	50V	603	100k ohm
ERJ-2RKF1002X	Panasonic	DK	P10.0KLCT-ND	"Resistor, 10 kohm, 100 mW, 1%, 0402"	Resistor	1%	*	402	10 kohm
RC0603JR-1010KL	Yageo	NW	68R0215	"Resistor, 10k ohm 100 mW, 5%, 100ppm, 0603"	Resistor	5%	50V	603	10k ohm
RC0603FR-0720KL	Vishay Dale	NW	26R4043	"Resistor, Thick Film, 20 kohm, 100 mW, 1%, 0603"	Resistor	1%	75V	603	10k ohm
RC0805FR-07120RL	Yageo	DK	311-120CRCT-ND	"Resistor, 120 ohm 125 mW, 5%, Thick Film 0805"	Resistor	5%	*	805	120 ohm
ERJ-3GEYJ161V	Panasonic	DK	P160GCT-ND	"Resistor, 160 ohm, 5%, 0603"	Resistor	5%	*	603	160 ohm
CRCW0805169RFKEA	Vishay Dale	NW	52K9913	"Resistor, 169 ohm 125 mW, 1%, 100ppm, Thick Film 0805"	Resistor	1%	150V	805	169 ohm
CRCW04021K00JNTD	Vishay Dale	NW	23C6830	"Resistor, 1k ohm, 63 mW, 5%, Thick Film 0402"	Resistor	5%	50V	402	1k ohm
MC0603WGF1001T5E-TC	Multicomp	NW	58K4448	"Resistor, 1k ohm 63 mW, 1%, 0603"	Resistor	1%	50V	603	1k ohm
RC0805JR-071KL	Yageo	NW	68R0253	"Resistor, 1k ohm 125 mW, 5%, Thick Film, 0805"	Resistor	5%	150V	805	1k ohm
RC0603FR-0720KL	Yageo	NW	68R0068	"Resistor, Thick Film, 20kohm, 100 mW, 1%, 0603"	Resistor	1%	75 V	603	20k ohm
RC0603FR-102K2L	Yageo	NW	68R0123	"Resistor, 2.2k ohm, Thick Film, 100 mW, 1%, 0603"	Resistor	1%	*	603	2.2k ohm
CRCW06032M00FKEA	Vishay Dale	NW	52K8249	"Resistor, 2 M ohm, 100 mW, 1%, Thick Film 0603"	Resistor	1%	75V	603	2M ohm
RC0603FR-073K24L	Yageo	DK	311-3.24KHRCT-ND	"Resistor, 3.24k ohm, 1%, 100 mW, Thick Film 0603"	Resistor	1%	*	603	3.24k ohm
CRCW08053R30FNEA	Vishay Dale	NW	89M6813	"Resistor, 3.3 ohm, Thick Film, 125 mW, 1%, 200ppm, 0806"	Resistor	1%	*	805	3.3 ohm
RR0510P-3321-D	Susumu	DK	RR05P3.32KDCT-ND	"Resistor, 3.32 kohm, Thin Film, 0.5%, 0402"	Resistor	0.5%	*	0402	3.32 kohm
RC0603FR-073R92L	Yageo	DK	311-3.92HRCT-ND	"Resistor, 3.92 ohm, 0.1W, 1%, 200ppm, 0603"	Resistor	1%	*	603	3.92 ohm
ERJ-3GEYJ301V	Panasonic	DK	P300GCT-ND	"Resistor, 300 ohm, 5% 0603"	Resistor	5%	*	603	300 ohm
